Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2023 07 15 21	0.095	30.34
2023 07 15 22	0.09	30.52
2023 07 15 23	0.086	28.92
2023 07 16 00	0.083	26.25
2023 07 16 01	0.079	23.67
2023 07 16 02	0.075	20.82
2023 07 16 03	0.08	17.98
2023 07 16 04	0.087	16.57
2023 07 16 05	0.093	16.11
2023 07 16 06	0.091	16.46
2023 07 16 07	0.083	18.21
2023 07 16 08	0.072	19.44
2023 07 16 09	0.057	22.54
2023 07 16 10	0.042	28.39
2023 07 16 11	0.027	38.99
2023 07 16 12	0.02	53.13
2023 07 16 13	0.019	45.0
2023 07 16 14	0.026	32.47
2023 07 16 15	0.037	25.2
2023 07 16 16	0.055	21.03
2023 07 16 17	0.076	19.14
2023 07 16 18	0.092	19.02
2023 07 16 19	0.101	19.5
2023 07 16 20	0.103	20.87
2023 07 16 21	0.101	23.27
2023 07 16 22	0.093	25.2
2023 07 16 23	0.085	27.16
2023 07 17 00	0.08	27.19
2023 07 17 01	0.078	25.58
2023 07 17 02	0.081	23.1
2023 07 17 03	0.088	20.48
2023 07 17 04	0.096	18.06
2023 07 17 05	0.104	16.69
2023 07 17 06	0.107	15.72
2023 07 17 07	0.101	14.85
2023 07 17 08	0.089	11.56
2023 07 17 09	0.072	7.12
2023 07 17 10	0.055	357.91
2023 07 17 11	0.043	345.32
2023 07 17 12	0.038	330.8
2023 07 17 13	0.042	323.67
2023 07 17 14	0.048	324.32
2023 07 17 15	0.054	327.77
2023 07 17 16	0.058	330.37
2023 07 17 17	0.06	331.31
2023 07 17 18	0.06	330.01
2023 07 17 19	0.057	326.3
2023 07 17 20	0.049	319.89
2023 07 17 21	0.041	305.21
2023 07 17 22	0.039	284.74
2023 07 17 23	0.041	267.2
